codigo;natureza
6924;Remessa para industrialização por conta
6925;Retorno de mercadoria recebida para indu
6929;Lançamento efetuado em decorrência de em
6932;Prestação de serviço de transporte inici
6933;Prestação de serviço tributado pelo ISSQ
6949;Outra saída de mercadoria ou prestação d
7000;SAÍDAS OU PRESTAÇÕES DE SERVIÇOS PARA O
7101;Venda de produção do estabelecimento
7102;Venda de mercadoria adquirida ou recebid
7105;Venda de produção do estabelecimento, qu
7106;Venda de mercadoria adquirida ou recebid
7127;Venda de produção do estabelecimento sob
7201;Devolução de compra para industrializaçã
7202;Devolução de compra para comercialização
7205;Anulação de valor relativo à aquisição d
7206;Anulação de valor relativo a aquisição d
7207;Anulação de valor relativo à compra de e
7210;Devolução de compra para utilização na p
7211;Devolução de compras para industrializaç
7251;Venda de energia elétrica para o exterio
7301;Prestação de serviço de comunicação para
7358;Prestação de serviço de transporte
7501;Exportação de mercadorias recebidas com
7551;Venda de bem do ativo imobilizado
7553;Devolução de compra de bem para o ativo
7556;Devolução de compra de material de uso o
7651;Venda de combustível ou lubrificante de
7654;Venda de combustível ou lubrificante adq
7930;Lançamento efetuado a título de devoluçã
7949;Outra saída de mercadoria ou prestação d
1100;COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIAL
1150;TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, CO
1200;DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA
1250;COMPRAS DE ENERGIA ELÉTRICA
1300;AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO
1350;AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE
1400;ENTRADAS DE MERCADORIAS SUJEITAS AO REGI
1450;SISTEMAS DE INTEGRAÇÃO
1500;ENTRADAS DE MERCADORIAS REMETIDAS COM FI
1550;OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO
1600;CRÉDITOS E RESSARCIMENTOS DE ICMS
1650;ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU N
1900;OUTRAS ENTRADAS DE MERCADORIAS OU AQUISI
2100;COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIAL
2150;TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, CO
2200;DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA
2250;COMPRAS DE ENERGIA ELÉTRICA
2300;AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO
2350;AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE
2400;ENTRADAS DE MERCADORIAS SUJEITAS AO REGI
2500;ENTRADAS DE MERCADORIAS REMETIDAS COM FI
2550;OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO
2600;CRÉDITOS E RESSARCIMENTOS DE ICMS
2650;ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU N
2900;OUTRAS ENTRADAS DE MERCADORIAS OU AQUISI
3100;COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIAL
3200;DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA
3250;COMPRAS DE ENERGIA ELÉTRICA
3300;AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO
3350;AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE
3500;ENTRADAS DE MERCADORIAS REMETIDAS COM FI
3550;OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO
3650;ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU N
3900;OUTRAS ENTRADAS DE MERCADORIAS OU AQUISI
5100;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIR
5150;TRANSFERÊNCIAS DE PRODUÇÃO PRÓPRIA OU DE
5200;DEVOLUÇÕES DE COMPRAS PARA INDUSTRIALIZA
5250;VENDAS DE ENERGIA ELÉTRICA
5300;PRESTAÇÕES DE SERVIÇOS DE COMUNICAÇÃO
5350;PRESTAÇÕES DE SERVIÇOS DE TRANSPORTE
5400;SAÍDAS DE MERCADORIAS SUJEITAS AO REGIME
5450;SISTEMAS DE INTEGRAÇÃO
5500;REMESSAS COM FIM ESPECÍFICO DE EXPORTAÇÃ
5550;OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO
5600;CRÉDITOS E RESSARCIMENTOS DE ICMS
5650;SAÍDAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO
5900;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕ
6100;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIR
6150;TRANSFERÊNCIAS DE PRODUÇÃO PRÓPRIA OU DE
6200;DEVOLUÇÕES DE COMPRAS PARA INDUSTRIALIZA
6250;VENDAS DE ENERGIA ELÉTRICA
6300;PRESTAÇÕES DE SERVIÇOS DE COMUNICAÇÃO
6350;PRESTAÇÕES DE SERVIÇOS DE TRANSPORTE
6400;SAÍDAS DE MERCADORIAS SUJEITAS AO REGIME
6500;REMESSAS COM FIM ESPECÍFICO DE EXPORTAÇÃ
6550;OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO
6600;CRÉDITOS E RESSARCIMENTOS DE ICMS
6650;SAÍDAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO
6900;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕ
7100;VENDAS DE PRODUÇÃO PRÓPRIA OU DE TERCEIR
7200;DEVOLUÇÕES DE COMPRAS PARA INDUSTRIALIZA
7250;VENDAS DE ENERGIA ELÉTRICA
7300;PRESTAÇÕES DE SERVIÇOS DE COMUNICAÇÃO
7350;PRESTAÇÕES DE SERVIÇO DE TRANSPORTE
7500;EXPORTAÇÃO DE MERCADORIAS RECEBIDAS COM
7550;OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO
7650;SAÍDAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO
7900;OUTRAS SAÍDAS DE MERCADORIAS OU PRESTAÇÕ
1000;ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ES
5902;Retorno de mercadoria utilizada na indus
5667;Venda de combustível ou lubrificante
1934;Entrada simbólica de mercadoria
2934;Entrada simbólica de mercadoria
5934;Remessa simbólica de mercadoria
6934;Remessa simbólica de mercadoria
1128;Comercialização ou prestação de serviços
1360;Aquisições de Serviços de Transporte
1505;Entradas de mercadorias remetidas para formação de lote ou c
1506;Entradas de mercadorias remetidas para formação de lote ou c
1931;Outras entradas de mercadorias ou aquisições de serviços
2505;Entradas de mercadorias remetidas para formação de lote ou c
2506;Entradas de mercadorias remetidas para formação de lote ou c
2931;Aquisições de serviços de transporte
5360;Prestações de serviços de transporte
5504;Remessas para formação de lote e com fim específico de expor
5505;Remessas para formação de lote e com fim específico de expor
5606;Créditos e ressarcimentos de icms
5931;Outras saídas de mercadorias ou prestações de serviços
6504;Remessas para formação de lote e com fim específico de expor
6505;Remessas para formação de lote e com fim específico de expor
6931;Outras saídas de mercadorias ou prestações de serviços
